"fish_id","feed_id","day_feed","prop_pos","ts_feeding","month","tl_mm","weight_g","w_gain","l_gain","year","arcsin_prop","id_month","date","ndate","year_f","nyear","nmonth","doy","new_time"
"T475053_1","d2feed_4",2,0.0309278350515464,2022-07-14 08:30:00,7,305,463,647,116,2022,0.176782479079793,"d2feed_4_2022",19188,19188,"2022",2022,7,196,127
"T475053_1","d2feed_13",5,0.00561797752808989,2022-08-18 05:30:00,8,305,463,647,116,2022,0.0750235277884777,"d2feed_13_2022",19226,19226,"2022",2022,8,234,327
"T475053_1","d2feed_13",1,0.174107142857143,2022-08-18 05:30:00,8,305,463,647,116,2022,0.430429847101944,"d2feed_13_2022",19222,19222,"2022",2022,8,230,311
"T475053_1","d2feed_2",4,0,2022-06-30 09:00:00,6,305,463,647,116,2022,0,"d2feed_2_2022",19176,19176,"2022",2022,7,184,55
"T475053_1","d2feed_8",7,0.00115207373271889,2022-07-28 08:00:00,7,305,463,647,116,2022,0.0339487323679695,"d2feed_8_2022",19207,19207,"2022",2022,8,215,239
"T475053_1","d2feed_13",3,0.017982017982018,2022-08-18 05:30:00,8,305,463,647,116,2022,0.134502223422871,"d2feed_13_2022",19224,19224,"2022",2022,8,232,319
"T475053_1","d2feed_17",7,0.0125104253544621,2022-09-08 10:00:00,9,305,463,647,116,2022,0.112084550756772,"d2feed_17_2022",19249,19249,"2022",2022,9,257,419
"T475053_1","d2feed_2",5,0.033214709371293,2022-06-30 09:00:00,6,305,463,647,116,2022,0.183273307184829,"d2feed_2_2022",19177,19177,"2022",2022,7,185,61
"T475053_1","d2feed_2",7,0.037344398340249,2022-06-30 09:00:00,6,305,463,647,116,2022,0.194470443777988,"d2feed_2_2022",19179,19179,"2022",2022,7,187,73
"T475053_1","d2feed_4",3,0.0468965517241379,2022-07-14 08:30:00,7,305,463,647,116,2022,0.218285489574403,"d2feed_4_2022",19189,19189,"2022",2022,7,197,133
"T475056_1","d2feed_9",2,0.0097323600973236,2022-08-04 08:40:00,8,310,443,582,87,2022,0.0988134502809885,"d2feed_9_2022",19209,19209,"2022",2022,8,217,250
"T475056_1","d2feed_13",2,0.0145077720207254,2022-08-18 05:30:00,8,310,443,582,87,2022,0.120741370164225,"d2feed_13_2022",19223,19223,"2022",2022,8,231,316
"T475056_1","d2feed_13",5,0.0209555741827326,2022-08-18 05:30:00,8,310,443,582,87,2022,0.145270820280424,"d2feed_13_2022",19226,19226,"2022",2022,8,234,328
"T475056_1","d2feed_12",1,0.00334075723830735,2022-08-15 09:00:00,8,310,443,582,87,2022,0.057831514770687,"d2feed_12_2022",19219,19219,"2022",2022,8,227,300
"T475056_1","d2feed_2",3,0.0537142857142857,2022-06-30 09:00:00,6,310,443,582,87,2022,0.233890076900655,"d2feed_2_2022",19175,19175,"2022",2022,7,183,50
"T475056_1","d2feed_2",5,0.0401854714064915,2022-06-30 09:00:00,6,310,443,582,87,2022,0.201830636208855,"d2feed_2_2022",19177,19177,"2022",2022,7,185,62
"T475056_1","d2feed_17",4,0.0366336633663366,2022-09-08 10:00:00,9,310,443,582,87,2022,0.192587529763629,"d2feed_17_2022",19246,19246,"2022",2022,9,254,408
"T475056_1","d2feed_1",4,0.0793478260869565,2022-06-24 10:00:00,6,310,443,582,87,2022,0.285552333555283,"d2feed_1_2022",19170,19170,"2022",2022,6,178,20
"T475056_1","d2feed_1",5,0.0470588235294118,2022-06-24 10:00:00,6,310,443,582,87,2022,0.218668945873942,"d2feed_1_2022",19171,19171,"2022",2022,6,179,26
"T475056_1","d2feed_9",4,0.0138203356367226,2022-08-04 08:40:00,8,310,443,582,87,2022,0.117832407912514,"d2feed_9_2022",19211,19211,"2022",2022,8,219,260
